car_age,km_driven,price_new,accident_count,door_count,fuel,transmission,timestamp
14,161552,36100,1,5,0,0,33:36.0
13,168103,30591,1,5,1,0,34:09.6
17,113525,34399,5,5,1,0,34:43.2
13,147223,20887,2,5,0,0,35:16.8
9,49633,41759,3,5,0,1,35:50.4
7,53110,36144,3,4,0,0,36:24.0
18,77471,44305,2,5,2,1,36:57.6
17,110486,20418,3,5,2,0,37:31.2
13,169315,39252,4,5,0,0,38:04.8
9,47640,39281,1,4,2,1,38:38.4
15,28198,31814,1,2,2,0,39:12.0
6,189357,19143,2,5,0,1,39:45.6
2,9146,36384,1,4,0,1,40:19.2
12,147911,30936,1,3,1,0,40:52.8
14,24986,36299,4,5,1,0,41:26.4
16,164402,36635,3,5,1,0,42:00.0
15,189293,24813,2,4,2,1,42:33.6
10,17938,28318,5,4,2,1,43:07.2
10,36996,25115,2,2,1,1,43:40.8
18,72405,37990,2,4,2,1,44:14.4
13,119253,27929,2,4,0,1,44:48.0
14,96699,35989,4,4,2,0,45:21.6
11,32898,46436,2,5,1,1,45:55.2
12,9909,24692,3,4,2,1,46:28.8
4,194911,26132,3,3,2,1,47:02.4
16,111963,29221,4,4,2,0,47:36.0
4,138058,38496,4,5,2,1,48:09.6
9,68350,31031,1,3,0,1,48:43.2
5,160777,45841,2,4,1,1,49:16.8
9,63236,36342,1,4,2,1,49:50.4
4,69378,30604,2,4,2,1,50:24.0
12,46241,30276,2,5,0,1,50:57.6
3,132848,30096,5,5,1,1,51:31.2
17,62474,29504,1,4,2,1,52:04.8
18,150902,22872,3,4,0,0,52:38.4
7,130016,42712,4,4,2,1,53:12.0
9,131473,35060,2,5,0,1,53:45.6
13,90336,28928,1,3,2,0,54:19.2
15,23433,32181,1,4,2,1,54:52.8
18,73638,30290,3,5,1,1,55:26.4
14,153910,31387,4,4,1,1,56:00.0
10,157893,39816,2,5,2,1,56:33.6
11,78107,36612,2,4,2,1,57:07.2
8,28118,38694,2,4,2,0,57:40.8
1,162499,29635,1,5,0,0,58:14.4
17,63426,36755,2,4,1,1,58:48.0
8,65633,29665,1,5,2,1,59:21.6
12,128542,21690,3,2,2,1,59:55.2
11,17498,35217,2,3,2,1,00:28.8
12,94586,29099,2,4,2,1,01:02.4
20,92036,38321,2,4,2,0,01:36.0
12,60930,24669,2,4,2,1,02:09.6
7,157543,38761,1,4,2,1,02:43.2
1,39930,24436,1,5,0,1,03:16.8
13,176770,31269,1,2,0,1,03:50.4
3,101225,24176,5,4,1,1,04:24.0
10,51945,19926,1,5,2,0,04:57.6
11,136507,24894,4,4,0,1,05:31.2
16,155605,38819,4,3,2,1,06:04.8
18,83289,29291,3,5,0,1,06:38.4
10,156799,24222,5,4,0,1,07:12.0
9,94865,47078,3,3,1,1,07:45.6
10,127793,29207,1,4,2,0,08:19.2
2,14546,40548,4,3,1,1,08:52.8
7,179005,32748,1,2,0,0,09:26.4
16,78970,18809,1,4,0,1,10:00.0
11,116633,23435,2,3,2,1,10:33.6
8,140677,35611,1,2,2,1,11:07.2
12,58298,41128,1,3,2,0,11:40.8
15,81309,31564,4,2,2,1,12:14.4
14,48867,38876,1,5,2,1,12:48.0
12,47881,29078,1,5,2,0,13:21.6
10,6081,31272,1,5,2,1,13:55.2
12,28658,46301,3,5,2,0,14:28.8
4,60291,42526,2,5,0,1,15:02.4
6,142935,27845,4,4,0,1,15:36.0
15,47194,43189,3,2,1,1,16:09.6
3,100871,41857,1,4,1,1,16:43.2
2,148140,40338,3,5,2,0,17:16.8
5,111980,33211,3,5,0,0,17:50.4
7,110477,23883,1,4,1,1,18:24.0
4,122030,26878,1,3,2,1,18:57.6
18,109889,43856,1,4,2,1,19:31.2
13,39925,46623,1,2,1,1,20:04.8
14,69901,35529,4,5,2,1,20:38.4
7,69438,32935,3,5,1,1,21:12.0
4,182156,32026,3,4,1,1,21:45.6
6,86515,38975,2,4,2,1,22:19.2
11,154504,31811,3,5,0,0,22:52.8
13,92795,32997,1,2,2,0,23:26.4
2,22788,35025,2,2,1,1,24:00.0
7,86283,23034,1,5,2,1,24:33.6
9,71591,43082,5,5,0,1,25:07.2
18,108756,34943,1,4,2,0,25:40.8
14,101552,32386,2,3,0,0,26:14.4
14,38583,26568,1,5,2,1,26:48.0
15,97017,38815,1,2,0,1,27:21.6
10,107820,28697,2,3,0,1,27:55.2
20,113909,21067,1,3,2,1,28:28.8
16,35560,38594,1,4,1,1,29:02.4
9,100729,40252,4,5,0,1,29:36.0
20,92191,27027,2,5,2,1,30:09.6
4,182164,38230,1,4,0,1,30:43.2
11,153022,34011,1,4,2,0,31:16.8
13,166152,19579,4,2,2,0,31:50.4
8,92878,28567,4,4,1,0,32:24.0
11,85094,28648,3,4,1,0,32:57.6
11,155535,28376,2,2,2,1,33:31.2
16,150157,29256,3,3,1,1,34:04.8
11,160759,35518,1,3,0,0,34:38.4
3,33906,36354,3,3,2,1,35:12.0
8,105950,27166,2,3,0,0,35:45.6
7,135751,25627,3,4,0,1,36:19.2
7,113434,23704,3,2,2,0,36:52.8
10,105529,41914,2,3,0,1,37:26.4
5,139172,43241,4,5,1,1,38:00.0
3,49549,34166,1,4,1,0,38:33.6
8,62753,29714,5,3,0,1,39:07.2
12,59303,42533,3,5,2,1,39:40.8
11,155990,23529,1,3,0,0,40:14.4
4,117958,25651,3,4,2,1,40:48.0
4,57011,28099,3,5,2,1,41:21.6
15,59586,35849,2,4,2,1,41:55.2
10,51872,26960,2,4,2,1,42:28.8
2,15520,26488,1,5,0,1,43:02.4
1,187914,32077,1,3,2,1,43:36.0
16,37379,35376,1,5,2,1,44:09.6
4,54004,47668,1,5,2,1,44:43.2
17,180275,45537,1,4,0,1,45:16.8
13,152381,35143,1,2,1,1,45:50.4
2,126662,22301,1,4,0,0,46:24.0
4,148494,24424,1,5,1,1,46:57.6
6,130301,21892,2,4,0,1,47:31.2
15,98648,29102,3,4,2,1,48:04.8
7,64091,33660,1,4,1,0,48:38.4
1,119773,23597,1,4,2,1,49:12.0
9,176398,39276,1,4,2,1,49:45.6
5,142531,21507,1,2,2,0,50:19.2
20,78388,40169,4,5,2,1,50:52.8
12,95226,22180,1,4,2,0,51:26.4
4,103241,38483,1,4,0,0,52:00.0
14,155441,35849,4,4,2,1,52:33.6
3,85794,28624,3,5,2,1,53:07.2
20,181688,36191,1,3,0,1,53:40.8
11,31161,30505,1,4,1,1,54:14.4
9,124171,36641,1,2,2,1,54:48.0
13,112723,26459,3,4,2,0,55:21.6
10,45915,35306,1,4,2,1,55:55.2
3,157062,26891,1,2,0,1,56:28.8
6,151224,33123,1,4,2,1,57:02.4
9,23107,26916,1,4,1,1,57:36.0
11,61606,36451,2,5,0,1,58:09.6
13,86105,23979,1,4,2,1,58:43.2
3,67720,35092,1,4,2,1,59:16.8
9,107611,35808,4,4,2,1,59:50.4
12,69671,39185,1,5,2,1,00:24.0
12,153552,23938,1,4,1,1,00:57.6
13,100852,46496,2,4,2,1,01:31.2
5,98427,23389,3,4,2,0,02:04.8
11,142890,27976,2,3,2,1,02:38.4
16,15305,42637,2,5,1,0,03:12.0
18,62077,36042,3,3,2,1,03:45.6
10,109766,31223,1,5,2,0,04:19.2
12,153893,21795,4,4,1,1,04:52.8
11,72643,35014,1,4,0,1,05:26.4
13,99262,26445,3,2,2,1,06:00.0
15,60349,35463,2,4,2,1,06:33.6
16,31458,24465,2,5,2,1,07:07.2
14,76001,33346,1,2,0,1,07:40.8
10,134057,40718,2,4,1,1,08:14.4
8,51430,33087,2,4,2,1,08:48.0
9,17837,24963,1,4,2,1,09:21.6
6,172659,30925,1,4,0,0,09:55.2
8,69395,35945,2,4,2,1,10:28.8
13,102191,34625,3,4,2,1,11:02.4
16,147633,28239,1,2,2,0,11:36.0
11,82349,36796,1,4,1,1,12:09.6
11,37239,29499,3,3,2,0,12:43.2
10,102506,18339,1,2,2,0,13:16.8
8,132661,41035,1,3,2,1,13:50.4
3,72218,40793,5,5,1,1,14:24.0
19,102347,28345,2,5,2,1,14:57.6
10,51351,35987,1,5,2,1,15:31.2
7,91976,42080,1,5,0,1,16:04.8
13,85965,37923,2,4,2,1,16:38.4
7,147906,23989,1,4,0,0,17:12.0
8,93647,29775,4,3,0,1,17:45.6
6,78081,40379,3,3,0,0,18:19.2
14,25768,31787,5,5,1,1,18:52.8
8,186054,35469,3,4,0,1,19:26.4
9,78814,32755,3,5,2,1,20:00.0
14,162417,41408,2,4,0,1,20:33.6
11,88572,42396,2,3,2,0,21:07.2
11,131126,23606,4,5,2,1,21:40.8
10,24826,33800,1,4,1,0,22:14.4
8,125692,18318,1,5,1,1,22:48.0
17,121744,40027,2,4,1,1,23:21.6
17,73529,27909,2,3,1,0,23:55.2
20,7578,27404,3,2,1,0,24:28.8
12,79475,25236,1,5,1,1,25:02.4
13,32276,47630,4,4,1,1,25:36.0
13,147792,29246,1,5,2,1,26:09.6
9,26619,25136,3,2,2,1,26:43.2
12,159144,38968,2,3,0,0,27:16.8
7,151941,40675,3,4,2,1,27:50.4
11,85497,34915,3,2,2,1,28:24.0
14,83630,19257,3,2,2,1,28:57.6
17,68122,28421,1,5,0,1,29:31.2
2,119034,31712,3,5,1,0,30:04.8
4,58034,24735,5,4,0,1,30:38.4
9,108751,31822,4,4,1,1,31:12.0
12,5913,33540,1,4,0,0,31:45.6
14,167797,39588,1,5,2,1,32:19.2
4,157730,29976,2,5,2,1,32:52.8
18,163257,32475,1,4,2,1,33:26.4
9,115128,38111,1,4,0,1,34:00.0
14,53285,21226,1,4,0,0,34:33.6
5,34955,26674,2,4,2,1,35:07.2
14,188845,35693,1,5,2,1,35:40.8
11,35279,32992,1,3,2,1,36:14.4
6,51393,34344,2,4,2,0,36:48.0
10,187903,25039,3,4,2,1,37:21.6
17,79869,34725,2,4,2,1,37:55.2
11,22681,38320,3,5,2,0,38:28.8
8,119309,29183,3,5,1,0,39:02.4
3,162469,29789,1,4,2,1,39:36.0
6,91531,29033,1,5,0,0,40:09.6
12,152727,27140,4,4,2,1,40:43.2
8,131237,23171,1,3,0,0,41:16.8
10,92469,30395,4,2,0,1,41:50.4
11,78626,37026,4,4,2,1,42:24.0
3,65264,23506,3,4,1,1,42:57.6
9,44842,31013,1,3,1,1,43:31.2
19,40810,26628,2,2,0,1,44:04.8
1,70746,37855,2,5,2,0,44:38.4
18,72436,30239,1,4,2,0,45:12.0
4,54983,21275,5,3,0,1,45:45.6
6,138631,33685,1,5,1,1,46:19.2
14,142183,26127,1,2,1,1,46:52.8
7,41624,19846,1,5,1,1,47:26.4
11,87410,33063,1,4,0,1,48:00.0
16,129235,32727,1,4,2,1,48:33.6
14,144521,36049,1,3,0,1,49:07.2
8,37092,22345,2,5,2,1,49:40.8
9,57118,23832,2,5,0,1,50:14.4
17,150859,26396,2,5,2,1,50:48.0
1,163865,20338,1,4,0,0,51:21.6
16,94886,34913,1,5,0,1,51:55.2
10,147971,30083,1,4,2,1,52:28.8
2,110544,36360,3,5,0,0,53:02.4
15,64802,35292,1,4,2,1,53:36.0
7,197810,40011,3,4,2,1,54:09.6
13,153858,40249,1,2,2,0,54:43.2
17,109716,40671,2,3,2,1,55:16.8
14,91541,27868,1,4,2,1,55:50.4
9,126441,26699,2,5,2,0,56:24.0
3,68537,32097,2,5,0,1,56:57.6
19,87235,19957,2,5,0,0,57:31.2
4,158867,29949,3,5,0,1,58:04.8
15,177110,32553,1,2,2,0,58:38.4
20,168631,37620,2,3,0,1,59:12.0
9,98519,29547,1,5,2,1,59:45.6
5,99043,22892,5,4,2,1,00:19.2
2,60146,31371,2,4,0,1,00:52.8
4,77082,33049,1,5,1,1,01:26.4
14,97034,42406,3,5,0,1,02:00.0
11,153933,30581,1,4,1,1,02:33.6
4,41635,25037,1,5,2,1,03:07.2
13,138908,41695,2,3,1,1,03:40.8
8,141982,30304,1,5,0,1,04:14.4
5,50439,46020,2,3,2,1,04:48.0
11,77627,44676,2,4,2,1,05:21.6
16,102884,25937,4,3,0,1,05:55.2
20,77413,42321,1,5,2,1,06:28.8
8,51480,41334,1,5,2,1,07:02.4
7,69796,34224,1,4,1,0,07:36.0
20,103303,32488,4,2,0,1,08:09.6
12,174908,28876,4,4,2,0,08:43.2
9,119296,30691,3,5,1,1,09:16.8
5,158005,26785,1,4,2,1,09:50.4
18,129878,28353,2,5,1,0,10:24.0
4,124926,21819,4,5,1,1,10:57.6
9,121965,28989,3,5,1,1,11:31.2
19,176692,31359,2,4,2,1,12:04.8
4,157220,32399,1,5,0,0,12:38.4
7,33560,39028,2,5,0,1,13:12.0
11,116166,19481,2,4,1,1,13:45.6
1,62389,29248,1,5,2,1,14:19.2
1,134972,31324,2,5,2,0,14:52.8
16,7616,37192,2,2,1,0,15:26.4
20,161635,26059,2,5,0,0,16:00.0
9,135999,31757,1,5,0,0,16:33.6
10,140238,35754,3,2,1,1,17:07.2
12,123141,22233,4,4,2,1,17:40.8
9,88235,34831,2,5,0,1,18:14.4
18,80258,33825,1,5,0,0,18:48.0
16,77942,37615,1,4,0,0,19:21.6
7,97380,28294,4,4,2,1,19:55.2
2,189537,45243,3,4,0,1,20:28.8
9,57057,25409,3,5,0,1,21:02.4
12,113569,29428,2,2,0,1,21:36.0
2,38500,22507,3,3,0,1,22:09.6
8,106293,34629,2,2,2,1,22:43.2
10,123714,31291,1,5,0,1,23:16.8
14,23061,32764,4,4,2,1,23:50.4
17,37709,35600,1,5,0,0,24:24.0
16,98094,30688,1,3,0,1,24:57.6
12,117164,45718,3,4,0,1,25:31.2
14,69836,23477,1,4,2,0,26:04.8
10,69296,32975,2,4,0,0,26:38.4
17,32897,35940,1,5,1,0,27:12.0
7,35382,33138,3,5,2,1,27:45.6
13,12092,19202,3,5,0,1,28:19.2
10,62421,23293,4,2,0,1,28:52.8
8,172195,32594,2,4,0,0,29:26.4
10,87526,27838,1,5,2,1,30:00.0
16,142154,27322,2,5,2,1,30:33.6
19,141759,28795,1,4,2,1,31:07.2
15,100566,25475,2,4,2,0,31:40.8
6,184991,19934,3,2,0,1,32:14.4
16,60439,30980,2,4,0,1,32:48.0
6,94594,35456,1,4,2,1,33:21.6
8,22502,33094,3,4,1,0,33:55.2
18,166554,28712,1,3,2,1,34:28.8
10,126746,40261,1,5,2,1,35:02.4
2,66005,39649,2,5,2,1,35:36.0
3,76429,46636,2,3,2,1,36:09.6
1,105713,29038,1,5,2,0,36:43.2
12,123790,30524,4,5,2,0,37:16.8
12,42236,31688,4,3,0,0,37:50.4
17,163480,40051,3,3,0,1,38:24.0
18,124554,34700,4,5,2,1,38:57.6
7,122299,34364,1,5,0,0,39:31.2
9,94095,22750,2,5,1,1,40:04.8
11,187830,36267,2,5,0,0,40:38.4
9,150283,31878,3,3,2,1,41:12.0
10,88304,42388,2,5,1,1,41:45.6
6,99776,36332,1,4,0,1,42:19.2
16,161250,30745,4,4,2,0,42:52.8
5,191211,20386,2,4,0,1,43:26.4
11,30053,34172,1,2,0,1,44:00.0
13,47227,19257,4,4,2,0,44:33.6
9,171036,39494,5,5,2,1,45:07.2
17,113073,32783,2,5,2,1,45:40.8
5,187138,37534,1,5,2,1,46:14.4
18,135647,30747,3,4,1,1,46:48.0
13,175546,31494,3,5,1,0,47:21.6
11,6722,38378,3,5,0,1,47:55.2
9,131518,24673,1,5,2,1,48:28.8
14,121308,26727,3,5,1,1,49:02.4
7,189009,27226,1,5,0,0,49:36.0
7,58807,27665,3,4,1,0,50:09.6
6,109943,39196,1,4,0,0,50:43.2
10,29003,34743,1,5,0,1,51:16.8
11,64418,40562,2,4,2,1,51:50.4
7,161261,19838,4,4,2,0,52:24.0
5,99047,38867,2,5,2,0,52:57.6
10,72186,35988,1,4,2,0,53:31.2
14,104131,28848,1,4,1,1,54:04.8
6,94216,19868,4,2,2,0,54:38.4
1,28931,28449,2,4,2,1,55:12.0
16,81488,47682,5,4,2,1,55:45.6
9,76731,28167,1,5,0,1,56:19.2
12,115145,32685,2,2,0,1,56:52.8
19,12838,39669,3,3,0,1,57:26.4
15,55338,24883,2,5,2,1,58:00.0
11,135820,24988,1,2,2,1,58:33.6
20,176212,23768,2,4,0,0,59:07.2
11,34654,29899,3,4,2,1,59:40.8
4,102644,41035,1,4,1,0,00:14.4
9,133073,28835,2,5,0,1,00:48.0
17,142258,42444,1,3,2,0,01:21.6
8,110094,33829,3,3,2,1,01:55.2
2,123721,35416,1,4,2,0,02:28.8
7,91901,31327,2,5,1,1,03:02.4
9,107947,29266,2,4,2,1,03:36.0
14,71823,32942,1,5,2,1,04:09.6
11,58686,24745,3,5,1,1,04:43.2
13,41630,41389,1,3,1,1,05:16.8
2,169054,28091,4,5,0,1,05:50.4
14,71479,45984,1,4,2,1,06:24.0
14,167958,30597,2,4,1,1,06:57.6
13,169530,18989,5,3,0,0,07:31.2
5,72716,20010,3,2,1,1,08:04.8
12,53602,42030,2,3,1,1,08:38.4
17,84037,30888,1,4,1,0,09:12.0
4,156823,44402,2,3,2,1,09:45.6
5,28600,36288,3,5,1,1,10:19.2
13,75930,28495,1,4,2,1,10:52.8
14,53375,34037,2,5,2,1,11:26.4
9,52633,28721,1,4,1,1,12:00.0
2,175015,25341,1,5,2,1,12:33.6
17,124264,39337,1,4,2,1,13:07.2
15,110280,33398,3,4,2,1,13:40.8
16,170453,38381,4,3,2,1,14:14.4
12,131795,41935,2,3,1,1,14:48.0
14,22041,21845,4,5,1,1,15:21.6
9,171223,40689,1,5,1,1,15:55.2
16,178782,34634,4,4,2,1,16:28.8
3,154605,42911,1,4,1,1,17:02.4
9,45047,45875,1,2,2,0,17:36.0
4,62428,37410,1,5,1,1,18:09.6
8,84774,25299,1,4,0,0,18:43.2
7,65456,28958,3,5,2,0,19:16.8
12,2483,35786,4,2,0,1,19:50.4
12,48763,38448,4,4,0,1,20:24.0
12,100613,34304,2,4,2,1,20:57.6
8,128877,17014,2,4,0,1,21:31.2
7,180856,41634,1,3,0,1,22:04.8
9,172527,21178,2,3,0,1,22:38.4
6,78583,42015,2,2,2,0,23:12.0
17,89057,35085,2,4,2,0,23:45.6
12,160139,43321,2,5,2,1,24:19.2
7,194395,30416,3,5,1,1,24:52.8
17,57362,24305,2,5,1,1,25:26.4
13,149830,31518,4,5,0,1,26:00.0
11,83572,28258,4,5,2,1,26:33.6
9,173713,35963,1,3,0,0,27:07.2
14,122515,33552,1,4,2,0,27:40.8
15,164380,38588,2,4,2,1,28:14.4
16,87990,26018,1,4,2,1,28:48.0
11,158937,31075,3,4,1,1,29:21.6
11,145807,24801,3,2,0,0,29:55.2
14,132249,29214,5,4,2,1,30:28.8
12,59400,19581,2,5,2,1,31:02.4
12,114512,36396,2,4,0,1,31:36.0
11,170301,26158,3,2,2,1,32:09.6
7,8946,31232,2,4,1,1,32:43.2
20,74361,24442,1,5,0,1,33:16.8
11,171033,17896,5,2,0,1,33:50.4
9,33709,42155,1,4,0,0,34:24.0
12,166859,40148,1,4,0,1,34:57.6
9,154530,27614,2,4,0,1,35:31.2
12,119462,30464,2,4,0,1,36:04.8
13,44292,32649,2,5,2,1,36:38.4
5,47906,38117,1,5,2,0,37:12.0
3,82816,28487,2,5,0,0,37:45.6
7,123356,42209,1,4,2,1,38:19.2
1,115407,20795,2,3,2,1,38:52.8
8,58194,24029,1,3,2,1,39:26.4
19,52910,28612,1,4,0,0,40:00.0
1,75937,23393,1,5,2,0,40:33.6
11,151686,30471,1,4,2,1,41:07.2
11,173134,21141,1,4,0,1,41:40.8
14,122808,36139,1,5,1,1,42:14.4
10,153255,40019,4,4,2,1,42:48.0
12,25501,41307,3,2,2,1,43:21.6
10,110817,27950,1,4,1,1,43:55.2
2,20715,29821,4,5,2,1,44:28.8
19,136529,38951,2,4,0,1,45:02.4
3,181349,26566,3,3,0,0,45:36.0
8,55226,39665,1,5,0,1,46:09.6
5,18806,31963,5,4,0,1,46:43.2
12,69139,35989,1,2,2,1,47:16.8
16,137938,26186,2,3,2,0,47:50.4
5,107806,32549,4,3,0,1,48:24.0
5,94790,47085,3,4,0,0,48:57.6
10,183784,31128,1,3,2,1,49:31.2
7,21377,18641,2,4,1,0,50:04.8
7,140782,26771,1,4,2,1,50:38.4
13,38221,39702,4,5,0,1,51:12.0
4,137457,27544,3,5,2,0,51:45.6
4,45817,20371,4,5,2,0,52:19.2
11,64140,41465,1,5,0,1,52:52.8
10,25101,43259,1,4,2,1,53:26.4
11,24227,29163,2,3,2,1,54:00.0
6,97848,24664,1,4,2,1,54:33.6
5,163437,32983,1,2,2,1,55:07.2
3,84345,26038,1,4,0,0,55:40.8
5,134464,38303,3,2,2,1,56:14.4
11,72127,25912,4,4,2,1,56:48.0
10,94931,27117,1,2,2,1,57:21.6
11,101101,38148,1,4,0,1,57:55.2
14,167316,26290,5,4,0,1,58:28.8
12,56419,39759,5,4,2,0,59:02.4
7,107155,42962,4,2,0,1,59:36.0
16,154543,45103,2,4,0,1,00:09.6
15,11357,33671,1,5,1,1,00:43.2
17,139069,46826,2,4,0,1,01:16.8
6,12367,42930,2,3,1,0,01:50.4
13,66867,47298,1,5,1,1,02:24.0
5,47585,36557,1,3,0,1,02:57.6
6,117982,32216,2,4,2,0,03:31.2
11,109395,40872,2,4,0,0,04:04.8
14,89071,41643,2,5,2,1,04:38.4
18,42934,30189,3,5,2,1,05:12.0
14,77362,35815,2,2,2,0,05:45.6
8,17280,27917,2,2,2,1,06:19.2
3,155331,44599,1,2,0,1,06:52.8
19,60743,39310,1,5,2,1,07:26.4
9,60948,39305,3,5,2,0,08:00.0
9,167132,23860,3,5,2,1,08:33.6
10,96054,37560,2,5,0,0,09:07.2
20,152861,37857,1,4,2,1,09:40.8
18,154116,24061,1,5,0,0,10:14.4
5,55827,41029,1,5,0,0,10:48.0
16,162372,46923,1,4,1,1,11:21.6
7,138998,23604,1,5,2,1,11:55.2
14,155340,17533,2,5,2,0,12:28.8
15,142094,29167,1,2,2,1,13:02.4
10,71216,26109,2,2,1,1,13:36.0
6,51145,43357,4,4,0,1,14:09.6
8,80212,24170,2,4,2,0,14:43.2
6,69077,35788,2,2,2,1,15:16.8
1,131676,36118,1,4,2,1,15:50.4
13,80354,32463,1,5,1,1,16:24.0
13,173613,29201,1,4,1,1,16:57.6
13,194766,28780,1,4,2,1,17:31.2
3,48698,37999,1,5,1,0,18:04.8
10,141628,29286,3,3,2,1,18:38.4
12,189158,37603,3,4,1,1,19:12.0
13,189420,32472,3,5,0,0,19:45.6
6,75552,35335,1,4,1,0,20:19.2
11,107494,35441,2,5,2,1,20:52.8
12,172850,33292,3,5,2,1,21:26.4
6,120687,40683,4,4,1,1,22:00.0
12,21845,29235,4,3,0,0,22:33.6
8,126372,27060,1,4,2,1,23:07.2
12,9779,22841,1,4,1,1,23:40.8
17,40031,37458,3,4,0,1,24:14.4
14,53903,19671,1,4,0,1,24:48.0
15,24828,33954,1,4,2,1,25:21.6
19,47356,33689,3,4,0,1,25:55.2
3,79535,39880,1,3,0,1,26:28.8
14,64096,44080,5,5,2,1,27:02.4
7,31198,42010,1,4,2,1,27:36.0
7,61923,36219,1,5,2,1,28:09.6
16,49032,40772,3,5,2,1,28:43.2
10,169264,21404,2,3,2,1,29:16.8
2,111342,29035,2,3,1,1,29:50.4
11,21435,30193,1,4,0,0,30:24.0
12,110665,38603,2,4,1,0,30:57.6
7,174087,32783,1,3,2,1,31:31.2
9,160020,27203,2,5,0,1,32:04.8
12,63568,30708,4,4,0,0,32:38.4
13,134081,32112,1,2,2,0,33:12.0
17,140422,36561,1,5,0,1,33:45.6
11,133458,36272,2,5,2,0,34:19.2
2,165656,32041,2,4,2,1,34:52.8
7,13039,24175,3,5,0,1,35:26.4
12,38620,38906,1,4,2,0,36:00.0
20,56616,35819,1,5,2,1,36:33.6
12,138580,19582,2,3,0,1,37:07.2
17,46364,35694,1,4,0,1,37:40.8
6,94616,29041,2,4,0,0,38:14.4
1,137870,22420,3,2,2,1,38:48.0
8,162688,35989,2,3,0,1,39:21.6
16,191078,42200,2,5,2,0,39:55.2
20,10880,35039,1,4,0,1,40:28.8
11,80401,23746,3,5,2,1,41:02.4
4,104409,21100,1,4,1,0,41:36.0
18,133842,33445,2,3,2,1,42:09.6
16,61128,35504,1,5,2,1,42:43.2
14,63782,34560,2,3,1,1,43:16.8
9,36562,38465,2,4,0,1,43:50.4
16,13884,44081,2,4,0,1,44:24.0
11,86759,32586,2,2,2,1,44:57.6
10,80944,25979,2,4,2,0,45:31.2
13,164899,35776,1,4,1,1,46:04.8
3,169928,30485,3,4,0,1,46:38.4
15,62916,27677,3,4,1,0,47:12.0
16,9173,27352,4,4,1,1,47:45.6
11,139413,37139,1,5,2,1,48:19.2
11,123822,47466,3,3,0,0,48:52.8
4,193707,27858,2,4,2,0,49:26.4
11,96329,30743,4,4,0,0,50:00.0
4,110223,36829,1,5,2,1,50:33.6
7,130086,45259,1,2,0,1,51:07.2
20,193098,38386,2,4,1,0,51:40.8
10,100816,27894,1,4,2,1,52:14.4
11,73594,20142,5,3,1,0,52:48.0
15,149103,37074,3,4,2,1,53:21.6
5,159259,26035,2,4,1,1,53:55.2
