car_age,km_driven,price_new,accident_count,door_count,fuel,transmission,y_true,timestamp
11,29954,34149,3,3,0,1,4839,43:07.2
16,66406,24792,2,4,2,1,3601,43:40.8
4,149136,30160,1,4,2,1,5368,44:14.4
7,107357,27147,1,5,0,1,3740,44:48.0
14,179913,28733,1,4,0,0,1242,45:21.6
14,45193,23529,1,2,2,1,4256,45:55.2
16,113725,22890,2,5,1,1,1499,46:28.8
13,50446,44059,1,4,0,1,9515,47:02.4
15,120550,26622,4,5,2,1,1110,47:36.0
8,171920,35228,4,4,0,0,2459,48:09.6
13,43391,39876,2,2,0,0,6908,48:43.2
17,40917,22089,2,5,0,1,2302,49:16.8
4,70014,30190,1,4,0,1,8290,49:50.4
9,27304,40293,1,5,2,1,12180,50:24.0
9,103402,19666,1,3,2,1,3250,50:57.6
15,137364,24944,1,4,0,0,886,51:31.2
8,94074,25116,1,2,2,1,6858,52:04.8
12,107003,19980,4,4,2,0,1057,52:38.4
20,127739,32428,1,5,2,1,2432,53:12.0
9,178888,31774,4,5,0,1,647,53:45.6
6,60631,39967,4,5,2,1,7378,54:19.2
5,182716,22866,1,5,2,0,2550,54:52.8
15,67024,36682,1,4,1,0,5534,55:26.4
12,114879,20654,5,3,2,1,1434,56:00.0
11,71079,32779,1,5,2,1,5047,56:33.6
18,49910,26190,2,3,1,1,2702,57:07.2
18,67478,25788,1,4,2,1,2517,57:40.8
12,186917,35585,2,4,2,1,2429,58:14.4
17,91690,42568,1,5,2,0,3452,58:48.0
8,83703,28775,2,5,0,1,4617,59:21.6
8,30788,27601,1,5,2,0,9093,59:55.2
12,95104,27867,4,4,0,1,957,00:28.8
7,185772,42727,1,4,1,0,8863,01:02.4
15,69918,28544,1,2,2,0,4668,01:36.0
7,169545,30828,1,2,0,1,5181,02:09.6
14,57334,34433,1,4,2,0,3373,02:43.2
12,34065,44089,3,3,0,0,3513,03:16.8
10,77783,29476,2,4,2,1,5978,03:50.4
18,131646,38802,3,4,0,1,1922,04:24.0
11,140717,32619,1,5,2,1,3473,04:57.6
1,41887,21083,3,3,0,1,6579,05:31.2
8,86178,39856,1,4,2,1,10517,06:04.8
13,145103,27249,1,5,2,1,2644,06:38.4
16,76500,36931,3,4,2,0,1943,07:12.0
16,132132,27967,1,2,1,1,3044,07:45.6
17,163453,39059,2,4,2,0,1392,08:19.2
5,106177,28708,1,3,2,0,6510,08:52.8
12,72990,44756,4,4,0,0,2784,09:26.4
3,173042,19075,2,4,2,1,3383,10:00.0
10,194206,36860,1,4,0,1,3967,10:33.6
6,105671,33369,1,5,0,0,6905,11:07.2
7,105442,24902,2,4,0,1,2973,11:40.8
5,21076,24018,2,4,1,0,10361,12:14.4
17,125420,36935,2,5,0,1,1529,12:48.0
7,42769,31396,4,5,0,1,2388,13:21.6
13,143656,22018,1,3,0,1,3018,13:55.2
8,135044,23343,4,2,2,1,2493,14:28.8
9,131474,34428,3,2,2,0,2655,15:02.4
10,24458,43955,1,4,2,1,9970,15:36.0
2,186386,20534,2,4,1,0,2973,16:09.6
7,151769,28939,2,4,0,1,2832,16:43.2
18,145377,33507,3,2,1,1,2137,17:16.8
17,27604,31909,3,4,2,1,2783,17:50.4
11,163264,44082,1,5,1,0,6733,18:24.0
14,94565,43947,1,5,2,1,4825,18:57.6
10,60501,34402,3,5,1,1,6323,19:31.2
5,19423,29254,4,4,1,1,8962,20:04.8
2,93411,25756,1,4,0,1,7357,20:38.4
11,6696,35742,2,3,2,1,8047,21:12.0
1,104088,44078,2,4,0,1,13094,21:45.6
10,132696,36369,1,3,2,1,3940,22:19.2
11,195738,30554,1,2,2,1,5127,22:52.8
11,51936,30629,1,4,0,0,6635,23:26.4
12,20830,39271,2,4,2,1,6440,24:00.0
9,122449,46404,1,2,2,0,6428,24:33.6
7,129887,27932,1,4,0,1,4353,25:07.2
18,17887,33985,1,2,0,0,5288,25:40.8
14,37678,41873,1,3,2,1,7355,26:14.4
4,70016,40063,3,4,2,1,8189,26:48.0
18,60350,24693,2,4,0,1,1880,27:21.6
17,65325,24891,1,4,0,1,1825,27:55.2
11,96524,38961,1,5,2,0,7023,28:28.8
2,147328,43143,1,3,2,1,14049,29:02.4
17,136770,32352,2,4,0,0,951,29:36.0
1,115946,38813,1,4,2,0,13012,30:09.6
4,140542,29730,3,5,2,0,2380,30:43.2
15,105697,34466,1,4,1,1,6618,31:16.8
15,84749,32437,3,5,2,1,1654,31:50.4
12,164521,32902,1,2,2,1,3049,32:24.0
11,154436,46674,1,4,1,1,7253,32:57.6
13,23220,40660,1,5,2,1,9023,33:31.2
16,148355,22431,1,4,1,1,1728,34:04.8
10,105376,23549,3,4,2,1,2904,34:38.4
9,80085,40561,1,4,0,1,5481,35:12.0
5,78079,44973,2,5,0,0,5522,35:45.6
2,116415,27885,5,3,0,1,2010,36:19.2
8,147671,44085,1,5,1,1,7937,36:52.8
5,184881,39305,1,4,0,0,5264,37:26.4
20,160391,24877,2,5,2,1,936,38:00.0
12,34406,33988,1,3,2,1,8941,38:33.6
13,163063,40134,1,5,0,1,2135,39:07.2
7,131270,34316,5,4,2,1,2942,39:40.8
6,40773,35069,1,4,0,0,12866,40:14.4
15,40419,28104,3,4,2,0,2673,40:48.0
20,85301,30067,4,5,2,0,1189,41:21.6
17,40025,21154,1,4,0,0,3119,41:55.2
16,121903,39029,3,4,0,0,928,42:28.8
8,135126,31180,1,5,0,1,5110,43:02.4
4,159107,21051,5,2,0,1,1380,43:36.0
14,188737,37626,4,2,2,1,2433,44:09.6
12,159969,33417,3,5,1,1,2251,44:43.2
7,120961,44181,1,5,1,0,8224,45:16.8
7,140999,35586,3,4,2,0,5011,45:50.4
10,156811,28775,3,2,2,0,1639,46:24.0
11,132176,36654,1,5,2,1,3645,46:57.6
12,147495,38058,3,3,2,1,3097,47:31.2
2,132256,26762,1,5,2,1,6944,48:04.8
17,135340,20988,3,4,2,1,1243,48:38.4
19,140179,33194,1,4,0,0,2261,49:12.0
16,46383,25542,1,4,1,1,5098,49:45.6
12,106090,35086,1,3,1,1,6084,50:19.2
12,27911,30550,1,3,2,0,5179,50:52.8
8,105215,32278,5,3,1,0,2511,51:26.4
8,134424,34319,1,4,1,1,8901,52:00.0
13,152838,27607,4,5,2,1,1692,52:33.6
16,132761,29971,1,2,1,1,5651,53:07.2
11,60000,22031,3,5,1,1,2242,53:40.8
12,116400,47274,1,4,2,1,6658,54:14.4
20,53602,19481,1,4,1,0,2707,54:48.0
13,67541,40656,1,5,0,1,6770,55:21.6
8,156647,24702,1,3,0,1,4523,55:55.2
11,130259,22921,2,5,2,1,2078,56:28.8
13,33774,19195,1,4,2,0,4629,57:02.4
8,54100,21906,2,3,2,1,3872,57:36.0
10,77663,25194,3,4,0,1,2670,58:09.6
6,75515,34838,2,4,1,1,7465,58:43.2
11,141491,23587,2,5,2,0,2280,59:16.8
3,91703,39921,3,5,0,0,6209,59:50.4
9,167835,32054,2,4,2,1,4536,00:24.0
8,76789,22632,2,3,2,0,4532,00:57.6
10,99310,39922,3,4,2,1,6089,01:31.2
17,55342,30976,3,3,2,1,3069,02:04.8
4,178059,43822,1,4,2,0,5997,02:38.4
16,137450,21491,2,3,0,1,1035,03:12.0
3,132311,28788,5,3,0,0,3221,03:45.6
11,155957,18885,2,4,2,1,1479,04:19.2
19,59558,25721,5,2,2,1,2201,04:52.8
7,194243,26625,3,5,2,0,1311,05:26.4
8,20952,37336,1,3,0,0,12017,06:00.0
11,175237,25017,2,5,1,0,1835,06:33.6
7,49108,22394,1,3,0,0,4678,07:07.2
13,146560,26869,2,3,0,0,2619,07:40.8
8,170478,37995,3,5,1,1,2834,08:14.4
9,103100,32252,1,4,1,1,8067,08:48.0
9,52182,32850,2,5,0,1,6329,09:21.6
17,75200,24850,1,4,2,1,3035,09:55.2
12,141296,28578,1,4,1,0,5121,10:28.8
5,134516,22676,1,4,0,1,5557,11:02.4
1,18528,43239,1,4,1,1,26562,11:36.0
7,24576,20360,2,3,0,1,4330,12:09.6
13,99551,38374,3,4,2,1,1936,12:43.2
1,82700,30632,1,3,2,1,15253,13:16.8
8,109361,40649,4,3,2,1,4059,13:50.4
13,12341,33821,1,4,2,1,9675,14:24.0
11,185375,30500,1,5,2,1,2834,14:57.6
7,36279,34976,3,5,2,1,5228,15:31.2
19,147535,22063,3,3,1,0,655,16:04.8
4,168872,22652,2,5,1,1,5334,16:38.4
15,8393,31120,1,5,0,1,6888,17:12.0
9,47509,36672,1,4,0,1,8072,17:45.6
9,68124,34962,3,4,2,1,4115,18:19.2
11,109805,33249,1,4,2,1,4324,18:52.8
16,98337,39565,2,4,2,1,3601,19:26.4
7,26191,23014,3,5,0,1,3519,20:00.0
6,24998,40733,3,4,0,1,8297,20:33.6
9,59969,36780,5,4,2,1,4108,21:07.2
11,58266,31733,5,5,0,1,1574,21:40.8
14,100733,35352,2,4,0,0,2058,22:14.4
5,12854,20245,1,5,0,1,7893,22:48.0
11,25986,22716,5,5,2,0,2008,23:21.6
11,89585,31210,4,4,1,1,4671,23:55.2
5,38299,26886,1,5,1,1,10157,24:28.8
4,103002,38349,4,4,2,1,5970,25:02.4
16,67814,18924,1,2,2,1,2670,25:36.0
9,26250,40777,1,3,2,1,11403,26:09.6
1,80468,32930,1,5,2,1,12169,26:43.2
10,33597,36024,3,4,2,1,6105,27:16.8
15,155411,22523,3,4,0,0,748,27:50.4
5,11981,23354,1,4,1,1,11459,28:24.0
14,121798,28938,4,4,1,0,1221,28:57.6
12,83684,19713,2,4,0,0,2113,29:31.2
15,191265,42761,2,4,0,1,1536,30:04.8
12,132711,35463,2,5,2,1,2249,30:38.4
2,47735,23258,4,4,2,1,4505,31:12.0
18,113129,25667,2,3,1,0,2284,31:45.6
18,150504,35034,1,4,0,0,1026,32:19.2
12,51595,18221,3,4,2,0,1520,32:52.8
18,160806,29457,1,5,2,1,2114,33:26.4
11,66798,35182,1,5,2,0,6412,34:00.0
2,169913,37614,2,5,2,1,7861,34:33.6
12,117173,32789,1,4,2,1,3537,35:07.2
16,98414,34815,1,3,2,1,5766,35:40.8
7,88268,35710,2,5,2,1,4773,36:14.4
1,154990,18110,1,4,2,0,3957,36:48.0
3,145381,31123,1,3,0,1,6783,37:21.6
16,91220,33802,2,4,2,0,2882,37:55.2
8,81829,19711,1,5,0,1,2786,38:28.8
4,49673,27711,3,4,0,1,7210,39:02.4
15,54343,37139,2,4,1,0,5948,39:36.0
1,51065,40408,2,4,2,0,17422,40:09.6
11,71419,37508,1,4,2,1,9283,40:43.2
15,130064,37485,1,3,2,1,4023,41:16.8
2,83168,44891,1,4,2,0,13718,41:50.4
4,112261,32498,3,5,0,1,2759,42:24.0
18,161933,24828,1,2,2,1,2092,42:57.6
7,59563,25756,2,5,0,1,6482,43:31.2
11,111118,37051,3,5,2,1,4086,44:04.8
15,62053,41945,1,4,2,1,7179,44:38.4
15,86917,18622,4,5,2,0,1410,45:12.0
16,38507,39621,3,2,2,1,4684,45:45.6
16,173589,39914,4,4,2,1,1115,46:19.2
5,9673,30546,2,4,0,1,10973,46:52.8
19,143356,31334,2,4,0,1,1664,47:26.4
6,65285,40447,1,4,2,1,9899,48:00.0
10,39673,25620,3,5,2,0,3750,48:33.6
6,42296,24681,1,4,0,1,8341,49:07.2
15,121936,26633,2,3,1,1,3173,49:40.8
5,101515,37824,1,4,0,0,7760,50:14.4
10,7562,19136,1,4,2,1,5470,50:48.0
16,100634,45605,1,2,0,1,3588,51:21.6
5,50960,41940,3,4,0,1,9062,51:55.2
11,115826,36398,1,5,0,1,4591,52:28.8
19,25777,25523,2,5,0,0,1861,53:02.4
12,164602,33544,4,2,2,1,1887,53:36.0
3,147956,20630,4,4,2,1,3428,54:09.6
4,97279,25220,1,4,0,1,8232,54:43.2
2,9036,37933,4,5,0,0,7908,55:16.8
4,174302,27587,2,2,2,1,5832,55:50.4
7,171882,22226,4,3,2,1,1555,56:24.0
14,28902,24398,3,4,0,1,1693,56:57.6
1,32376,38550,1,2,0,1,21811,57:31.2
8,164507,31777,2,5,2,1,2393,58:04.8
18,54465,30213,4,4,2,1,2583,58:38.4
14,149210,42197,2,3,2,1,4192,59:12.0
5,148250,29927,5,4,0,0,2368,59:45.6
15,102793,46013,3,4,2,1,1849,00:19.2
19,167025,29737,4,5,2,1,488,00:52.8
4,35208,30366,1,5,0,1,11603,01:26.4
18,113635,27937,3,3,2,1,2248,02:00.0
6,82635,23634,1,4,1,1,9154,02:33.6
4,114630,31947,1,4,2,1,6615,03:07.2
16,81595,26186,1,3,1,1,5922,03:40.8
6,187374,30710,2,4,2,1,3110,04:14.4
7,70850,32338,2,5,2,1,8091,04:48.0
18,32685,29504,3,4,1,1,2684,05:21.6
3,17041,38664,1,4,2,1,21286,05:55.2
19,135640,30247,1,4,0,1,1853,06:28.8
10,50307,31643,3,5,2,1,4234,07:02.4
4,157767,37581,2,4,1,1,9734,07:36.0
8,167002,30087,1,5,1,1,4408,08:09.6
3,157871,27527,1,3,1,1,6209,08:43.2
7,97699,41312,2,4,2,1,8494,09:16.8
14,152284,27104,2,4,2,1,1219,09:50.4
14,75245,27156,1,4,0,1,3773,10:24.0
4,45817,28634,1,5,2,1,10844,10:57.6
18,110538,42943,3,5,2,1,1516,11:31.2
7,114380,34665,3,5,0,1,2270,12:04.8
10,134837,40168,5,5,2,1,1873,12:38.4
1,146861,33056,1,2,2,1,9294,13:12.0
11,103085,42898,1,2,1,0,6554,13:45.6
10,126426,39506,1,4,2,1,7429,14:19.2
11,116304,31847,1,5,2,1,3217,14:52.8
9,179649,29460,1,5,1,0,2187,15:26.4
12,21483,35482,1,4,0,1,10185,16:00.0
8,115147,47380,2,2,0,0,5321,16:33.6
8,166109,18326,1,5,0,1,2451,17:07.2
13,1631,31918,2,5,0,1,5626,17:40.8
9,6537,42190,1,3,1,1,17092,18:14.4
18,107572,36300,4,4,1,1,1473,18:48.0
8,24983,35947,1,4,2,0,9950,19:21.6
17,22454,34831,2,4,2,0,4805,19:55.2
7,112248,22965,1,4,0,1,4535,20:28.8
17,72901,28433,3,5,1,1,3118,21:02.4
13,143548,32602,3,4,2,0,1710,21:36.0
6,23636,29016,2,4,0,1,7871,22:09.6
15,139374,26276,1,3,2,0,1559,22:43.2
5,125906,30307,1,5,2,0,6954,23:16.8
10,155973,37784,3,4,2,1,3631,23:50.4
5,90881,24135,1,3,1,1,8800,24:24.0
12,176422,39446,5,4,0,0,505,24:57.6
19,79663,32847,2,5,2,0,1107,25:31.2
18,32591,45465,3,3,1,1,5613,26:04.8
4,94852,30679,1,2,0,1,8994,26:38.4
16,12353,30297,2,2,2,1,4420,27:12.0
8,123993,20480,1,2,2,1,4046,27:45.6
12,51784,31278,3,4,1,1,4134,28:19.2
6,113321,33478,2,5,0,1,4383,28:52.8
19,89377,41715,1,4,2,0,4247,29:26.4
18,172611,31217,2,5,2,0,1128,30:00.0
17,37608,39487,4,3,0,0,1743,30:33.6
15,163548,43243,4,4,2,1,1148,31:07.2
11,131254,20529,1,5,2,1,2589,31:40.8
3,70656,33103,2,3,0,0,6654,32:14.4
10,139909,32500,3,5,2,0,1718,32:48.0
3,78130,18566,1,4,1,0,6576,33:21.6
12,82743,31052,1,3,1,1,7139,33:55.2
18,47788,40296,2,4,0,0,3789,34:28.8
7,140685,46101,2,2,0,1,6428,35:02.4
1,58853,29802,2,2,0,0,11281,35:36.0
19,124173,44670,3,4,2,1,1838,36:09.6
15,73512,29600,2,5,0,0,1559,36:43.2
12,24961,32502,3,4,0,1,2821,37:16.8
8,176344,27955,2,5,1,1,2250,37:50.4
7,86548,30939,2,3,1,0,5529,38:24.0
14,34101,37637,1,4,2,0,4934,38:57.6
9,127008,41143,3,4,0,0,2831,39:31.2
9,164051,36252,2,5,1,1,4177,40:04.8
12,105195,27841,1,5,0,1,3221,40:38.4
6,66828,37946,4,4,2,1,5900,41:12.0
12,100482,35145,3,5,2,0,3502,41:45.6
9,22247,26341,2,5,2,1,6257,42:19.2
12,31003,21180,1,5,2,1,6112,42:52.8
11,159099,19528,1,4,0,1,1132,43:26.4
3,68613,29564,2,4,2,1,8629,44:00.0
6,158521,24950,2,2,0,1,2706,44:33.6
2,122829,38226,2,4,1,1,11090,45:07.2
10,112704,45558,3,5,0,1,4548,45:40.8
2,93675,31606,4,4,0,1,4585,46:14.4
12,105571,32871,3,5,0,0,1276,46:48.0
3,145089,36942,3,5,1,1,5826,47:21.6
17,122709,40915,4,4,1,1,1479,47:55.2
7,112453,29601,1,5,2,0,4726,48:28.8
1,157668,30978,1,4,2,1,10016,49:02.4
9,160611,44913,4,5,1,1,4513,49:36.0
11,129863,32162,3,4,0,0,1440,50:09.6
9,44393,43786,3,5,0,1,7699,50:43.2
13,56986,23032,3,5,0,0,1408,51:16.8
19,24166,39293,1,5,0,1,3845,51:50.4
7,93163,36635,2,5,1,1,9049,52:24.0
11,112156,38276,1,4,2,0,4251,52:57.6
11,150268,27229,2,4,1,0,2306,53:31.2
17,75957,26340,1,5,2,1,3553,54:04.8
19,54500,34966,2,4,0,1,1502,54:38.4
20,135116,33824,2,4,2,1,1480,55:12.0
10,35275,38328,1,4,1,0,13691,55:45.6
18,165570,35391,1,3,2,0,1568,56:19.2
16,147288,34357,2,4,2,1,1819,56:52.8
13,144080,29473,3,5,2,1,2169,57:26.4
20,187068,27497,1,5,2,0,737,58:00.0
20,164559,27294,4,5,2,0,327,58:33.6
16,123455,23462,1,4,0,0,2060,59:07.2
14,122634,41781,1,5,1,0,5404,59:40.8
10,26724,39603,1,4,0,0,9381,00:14.4
4,94075,32525,1,3,0,1,8944,00:48.0
8,58517,42149,3,5,2,0,5350,01:21.6
8,183808,40594,4,5,0,1,833,01:55.2
2,67471,31311,4,2,2,1,6940,02:28.8
5,68566,39147,1,5,2,1,14550,03:02.4
8,105201,34461,3,4,2,0,4178,03:36.0
12,152089,28676,2,5,2,1,1292,04:09.6
17,182235,28377,2,5,1,1,1326,04:43.2
20,58409,21824,3,3,1,1,2860,05:16.8
7,151604,32406,1,4,0,1,3279,05:50.4
3,91757,33689,3,4,0,1,8051,06:24.0
6,12637,23510,1,5,2,1,10973,06:57.6
7,114718,21995,3,5,0,0,1213,07:31.2
18,100005,37517,2,4,0,1,1622,08:04.8
4,191113,34133,3,5,2,1,2623,08:38.4
7,182447,25487,3,4,2,1,2523,09:12.0
3,85122,21527,1,5,2,0,6845,09:45.6
18,162851,31695,1,4,2,1,1751,10:19.2
5,168712,34184,2,3,0,1,3340,10:52.8
3,78823,26407,4,5,2,1,4584,11:26.4
6,114112,31299,5,4,2,1,2083,12:00.0
9,135773,27741,4,4,2,0,1309,12:33.6
14,174140,24190,3,3,0,1,621,13:07.2
12,139355,36365,1,3,0,0,2310,13:40.8
19,69982,37359,3,3,2,1,1937,14:14.4
4,67355,23129,1,4,1,1,10200,14:48.0
18,39806,33710,2,5,2,0,2320,15:21.6
13,140899,33726,4,4,1,1,2288,15:55.2
10,84719,32079,2,5,0,1,3039,16:28.8
11,189513,34774,1,5,1,1,3127,17:02.4
4,69775,35719,4,4,2,0,6946,17:36.0
2,66940,22004,1,4,1,1,9422,18:09.6
17,32892,41174,3,2,1,1,6811,18:43.2
12,86089,20576,3,4,2,1,1334,19:16.8
10,21381,34389,2,5,0,0,3981,19:50.4
3,57091,20221,2,4,1,1,6880,20:24.0
1,68402,34866,4,5,2,1,9339,20:57.6
8,50947,37046,1,3,2,1,10197,21:31.2
8,139024,30171,3,5,2,1,1902,22:04.8
10,165124,27481,3,5,2,1,2562,22:38.4
2,193727,41830,2,4,0,1,4563,23:12.0
12,126142,39634,3,2,1,1,3758,23:45.6
8,67786,37515,3,5,2,0,5415,24:19.2
6,119357,27677,1,3,1,1,7938,24:52.8
10,100357,42603,1,3,2,1,6615,25:26.4
15,164251,33926,1,5,2,0,1761,26:00.0
17,98524,23119,3,3,0,1,2017,26:33.6
17,106336,25158,3,3,2,0,1596,27:07.2
12,7368,23843,2,4,1,1,5422,27:40.8
12,11204,27644,1,3,2,0,7579,28:14.4
2,99410,40061,1,4,0,0,10059,28:48.0
6,134746,31554,1,4,2,0,4107,29:21.6
12,138923,40165,2,3,1,1,5286,29:55.2
3,144275,36554,1,5,1,1,10487,30:28.8
17,15588,43557,2,4,1,1,7854,31:02.4
8,19012,39219,1,4,2,1,14295,31:36.0
10,172778,36073,3,4,1,1,1968,32:09.6
15,107557,28501,2,5,2,1,2697,32:43.2
10,114843,26501,3,2,2,0,1737,33:16.8
5,22334,42628,5,4,1,1,6686,33:50.4
16,127817,35710,5,4,2,1,1561,34:24.0
9,57888,36967,3,4,0,1,3979,34:57.6
5,24212,42222,3,4,1,1,11868,35:31.2
10,91153,37074,1,4,2,1,9658,36:04.8
8,89926,27734,3,4,2,0,3593,36:38.4
17,8951,26072,2,2,2,1,4140,37:12.0
8,88956,25406,5,5,1,1,3350,37:45.6
5,96680,31299,3,4,0,0,4377,38:19.2
12,56057,38857,1,5,1,1,8133,38:52.8
14,55146,31961,2,4,0,1,4851,39:26.4
10,106992,33550,1,5,2,1,3896,40:00.0
10,137139,40604,1,4,2,1,6820,40:33.6
8,149099,37420,1,4,0,1,5067,41:07.2
15,147388,34239,4,5,2,0,1592,41:40.8
2,134669,21241,1,4,1,1,6256,42:14.4
10,104154,42963,4,5,2,1,3237,42:48.0
7,134351,27682,1,5,2,0,3569,43:21.6
20,79003,31684,4,5,2,1,1265,43:55.2
10,65395,32254,1,4,0,1,5131,44:28.8
1,112662,42387,3,4,2,1,10592,45:02.4
12,187335,24172,2,5,2,1,1149,45:36.0
13,54896,26440,1,4,2,0,4603,46:09.6
9,42179,26987,3,4,2,0,4267,46:43.2
16,73705,45421,4,3,2,0,3883,47:16.8
12,68799,39516,5,4,0,1,2696,47:50.4
9,151565,28223,4,4,0,1,1640,48:24.0
17,120768,24802,1,5,0,1,1488,48:57.6
9,137909,46746,1,4,0,0,6767,49:31.2
8,148175,32008,1,4,0,0,4262,50:04.8
7,38814,20268,1,2,2,1,8907,50:38.4
19,176866,27430,3,5,1,1,1513,51:12.0
5,74975,40053,1,5,2,0,10434,51:45.6
6,68294,37363,2,3,0,0,5926,52:19.2
5,159112,30871,3,2,1,0,4568,52:52.8
11,116536,35224,1,5,0,1,2582,53:26.4
2,107332,18701,1,5,1,1,6567,54:00.0
11,27941,36726,1,4,2,0,6776,54:33.6
13,103311,26547,4,5,0,1,798,55:07.2
8,76790,21920,4,4,2,1,2133,55:40.8
2,149604,35155,2,4,2,0,5834,56:14.4
11,105893,21827,1,4,2,1,3315,56:48.0
6,132408,26420,1,4,0,1,5153,57:21.6
2,142756,27313,1,4,2,1,8230,57:55.2
20,187358,44985,1,2,2,1,2115,58:28.8
16,39608,28147,3,3,1,0,2085,59:02.4
8,59898,28226,2,4,2,1,6057,59:36.0
12,183775,24416,2,5,2,1,1694,00:09.6
20,34507,34585,1,4,2,1,2600,00:43.2
16,15898,37513,4,4,0,1,2549,01:16.8
16,71626,43526,1,4,1,1,7155,01:50.4
10,12055,18849,2,4,1,1,4318,02:24.0
8,116310,32243,1,5,0,1,3786,02:57.6
20,41483,22925,2,4,0,0,699,03:31.2
14,112314,22820,5,5,2,1,511,04:04.8
15,93854,40927,2,4,0,0,2119,04:38.4
11,70537,25175,2,4,1,0,5632,05:12.0
6,179774,38362,3,4,2,1,5161,05:45.6
7,113621,24151,3,4,0,1,1574,06:19.2
10,74456,30548,4,4,2,1,3049,06:52.8
4,126299,40409,4,4,0,1,2915,07:26.4
13,73814,41441,3,4,2,0,3124,08:00.0
10,83134,40795,1,5,2,0,7258,08:33.6
5,108258,43678,3,4,2,0,5605,09:07.2
16,94379,28904,4,4,0,1,1436,09:40.8
13,118734,35832,1,4,2,1,5369,10:14.4
14,81429,30381,1,3,2,1,3910,10:48.0
17,60221,35487,5,5,2,1,988,11:21.6
